Name,Branch,Place,Exams Accepted,Fees
"The Oxford College of Engineering, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 570,360"
"Bhilai Institute of Technology, Durg",BE Mechanical Engineering,"Durg, Chhattisgarh",JEE,"Fees:  ₹ 283,400"
"Shiv Nadar University, Greater Noida",B.Tech Mechanical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 940,000"
"GL Bajaj Institute of Technology and Management, Greater Noida",B.Tech Mechanical Engineering,"Greater Noida, Uttar Pradesh",NA,Exams:  UPSEE 
"NMAM Institute of Technology, Karkala Taluk",BE Mechanical Engineering,"Karkala, Karnataka",KCET,"Fees:  ₹ 1,182,000"
"Vasavi College of Engineering, Hyderabad",BE Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 640,000"
"The National Institute of Engineering, Mysore",BE Mechanical Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 76,360"
"Netaji Subhas University of Technology, New Delhi",BE Mechanical Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 540,000"
"Siddaganga Institute of Technology, Tumkur",BE Mechanical Engineering,"Tumakuru, Karnataka",COMEDK,"Fees:  ₹ 331,470"
Indian Institute of Technology Bhubaneswar,B.Tech Mechanical Engineering,"Bhubaneshwar, Odisha",JEE,"Fees:  ₹ 993,600"
"Shri Ramdeobaba College of Engineering and Management, Nagpur",BE Mechanical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 599,600"
"BS Abdur Rahman Institute of Science and Technology, Chennai",B.Tech Mechanical Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 830,000"
"Koneru Lakshmaiah Education Foundation, Guntur",B.Tech Mechanical Engineering,"Guntur, Andhra Pradesh",JEE,"Fees:  ₹ 895,000"
"Government College of Engineering, Amravati",B.Tech Mechanical Engineering,"Amravati, Maharashtra",JEE,"Fees:  ₹ 335,740"
National Institute of Technology Calicut,B.Tech Mechanical Engineering,"Kattangal, Kerala",JEE,"Fees:  ₹ 541,320"
"University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra",B.Tech Mechanical Engineering,"Kurukshetra, Haryana",JEE,"Fees:  ₹ 269,280"
"Coimbatore Institute of Technology, Coimbatore",BE Mechanical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 238,480"
Indian Institute of Technology Gandhinagar,B.Tech Mechanical Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 986,500"
