Name,Branch,Place,Exams Accepted,Fees
Indian Institute of Technology Hyderabad,B.Tech Civil Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 887,780"
"Dayananda Sagar Academy of Technology and Management, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 180,000"
"MS Ramaiah University of Applied Sciences, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,126,000"
"Thiagarajar College of Engineering, Madurai",BE Civil Engineering,"Madurai, Tamil Nadu",NA,"Fees:  ₹ 67,400"
"Kalinga Institute of Industrial Technology, Bhubaneswar",B.Tech Civil Engineering,"Bhubaneshwar, Odisha",KIITEE,"Fees:  ₹ 1,400,000"
Malaviya National Institute of Technology Jaipur,B.Tech Civil Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 411,472"
"KLS Gogte Institute of Technology, Belagavi",BE Civil Engineering,"Belgaum, Karnataka",COMEDK,"Fees:  ₹ 213,840"
"Walchand College of Engineering, Sangli",B.Tech Civil Engineering,"Sangli, Maharashtra",JEE,"Fees:  ₹ 339,390"
"SRM Institute of Science and Technology, Ramapuram Campus",B.Tech Civil Engineering,"Ramapuram, Tamil Nadu",NA,Exams:  SRMJEEE 
"Institute of Engineering and Technology, Lucknow",B.Tech Civil Engineering,"Lucknow, Uttar Pradesh",UPSEE,"Fees:  ₹ 339,100"
"DY Patil College of Engineering, Pune",BE Civil Engineering,"Pimpri-Chinchwad, Maharashtra",MAHA,"Fees:  ₹ 493,168"
National Institute of Technology Rourkela,B.Tech Civil Engineering,"Rourkela, Odisha",JEE,"Fees:  ₹ 599,500"
"Karunya Institute of Technology and Sciences, Coimbatore",B.Tech Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 724,000"
"Vivekananda Global University, Jaipur",B.Tech Civil Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 360,000"
"Vardhaman College of Engineering, Hyderabad",B.Tech Civil Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 512,000"
"GIET University, Gunupur",B.Tech Civil Engineering,"Gunupur, Odisha",JEE,"Fees:  ₹ 456,000"
"The Oxford College of Engineering, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 570,360"
"Bhilai Institute of Technology, Durg",BE Civil Engineering,"Durg, Chhattisgarh",JEE,"Fees:  ₹ 283,400"
