Name,Branch,Place,Exams Accepted,Fees
"Manav Institute of Technology and Management, Hisar",B.Tech Aeronautical Engineering,"Hisar, Haryana",NA,NA
"PSN College of Engineering and Technology, Tirunelveli",BE Aeronautical Engineering,"Melathediyoor, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Jawaharlal College of Engineering and Technology, Palakkad",B.Tech Aeronautical Engineering,"Lakkidi, Kerala",KEAM,"Fees:  ₹ 396,000"
"GITAM School of Technology, Hyderabad",B.Tech Aerospace Engineering,"Rudraram, Telangana",GITAM,"Fees:  ₹ 1,452,000"
"Singhania University, Jhunjhunu",B.Tech Aeronautical Engineering,"Rasoolpur, Rajasthan",NA,NA
"Faculty of Engineering and Technology, Manav Rachna International Institute of Research and Studies, Faridabad",B.Tech Aeronautical Engineering,"Faridabad, Haryana",JEE,"Fees:  ₹ 613,500"
"Nehru Institute of Technology, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 280,000"
"Guru Kashi University, Talwandi Sabo",B.Tech Aeronautical Engineering,"Talwandi Sabo, Punjab",NA,NA
"Khaja Banda Nawaz College of Engineering, Gulbarga",BE Aeronautical Engineering,"Gulbarga, Karnataka",KCET,"Fees:  ₹ 220,000"
"Visvesvaraya Technological University, Belagavi",B.Tech Aeronautical Engineering,"Belgaum, Karnataka",NA,"Fees:  ₹ 61,840"
"Bhubaneswar Engineering College, Bhubaneswar",B.Tech Aeronautical Engineering,"Bhubaneswar, Odisha",JEE,"Fees:  ₹ 252,000"
"Udaya School of Engineering, Kanyakumari",B.Tech Aeronautical Engineering,"Kanyakumari, Tamil Nadu",NA,NA
"CMJ University, Shillong",B.Tech Aeronautical Engineering,"Shillong, Meghalaya",NA,NA
"Paavai Engineering College, Pachal",BE Aeronautical Engineering,"Puduchatram, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Amity University, Mumbai",B.Tech Aeronautical Engineering,"Navi Mumbai, Maharashtra",NA,"Fees:  ₹ 1,328,000"
"Arunai Engineering College, Tiruvannamalai",BE Aeronautical Engineering,"Tiruvannamalai, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"East West College of Engineering, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 2,000,000"
"William Carey University, Shillong",B.Tech Aeronautical Engineering,"Shillong, Meghalaya",NA,NA
"Rajadhani Institute of Engineering and Technology, Thiruvananthapuram",B.Tech Aeronautical Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 700,000"
"Mahaveer Institute of Science and Technology, Hyderabad",B.Tech Aeronautical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 240,000"
"Parul University, Vadodara",B.Tech Aeronautical Engineering,"Waghodia, Gujarat",NA,NA
"Mahendra Engineering College, Namakkal",BE Aeronautical Engineering,"Mallasamudram, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"ACE College of Engineering, Thiruvananthapuram",B.Tech Aeronautical Engineering,"Thiruvananthapuram, Kerala",NA,Exams:  KEAM 
"St Peter's College of Engineering and Technology, Chennai",BE Aeronautical Engineering,"Avadi, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"PM College of Engineering, Sonipat",B.Tech Aeronautical Engineering,"Bhuri, Haryana",NA,NA
"Bharat Institute of Engineering and Technology, Ibrahimpatnam",B.Tech Aeronautical Engineering,"Hyderabad, Telangana",NA,NA
"Babu Banarasi Das National Institute of Technology and Management, Lucknow",B.Tech Aeronautical Engineering,"Lucknow, Uttar Pradesh",UPSEE,"Fees:  ₹ 453,212"
"Chatrapati Shivaji Maharaj College of Aviation Technology, Ambajogai",B.Tech Aeronautical Engineering,"Ambajogai, Maharashtra",NA,NA
"Swarrnim Startup and Innovation University, Gandhinagar",B.Tech Aeronautical Engineering,"Bhoyan Rathod, Gujarat",NA,NA
"ILM College of Engineering and Technology, Ernakulam",B.Tech Aeronautical Engineering,"Ernakulam, Kerala",KEAM,"Fees:  ₹ 360,000"
"Rajasthan Technical University, Kota",B.Tech Aeronautical Engineering,"Kota, Rajasthan",JEE,"Fees:  ₹ 86,500"
"Loyola Institute of Technology and Science, Kanyakumari",BE Aeronautical Engineering,"Kanyakumari, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Dhanalakshmi Srinivasan College of Engineering and Technology, Chennai",BE Aeronautical Engineering,"Mahabalipuram, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"SCT Institute of Technology, Bangalore",B.Tech Aeronautical Engineering,"Bangalore, Karnataka",NA,NA
"Sri Satya Sai Institute of Science and Technology, Sehore",B. Tech Aeronautical Engineering,"Sehore, Madhya Pradesh",NA,NA
"Gurukul Vidyapeeth Institute of Engineering and Technology, Patiala",B.Tech Aeronautical Engineering,"Jhansala, Punjab",NA,NA
"Samalkha Group of Institutions, Panipat",B.Tech Aeronautical Engineering,"Panipat, Haryana",JEE,"Fees:  ₹ 313,552"
"Noorul Islam Centre For Higher Education, Kanyakumari",BE Aeronautical Engineering,"Kanyakumari, Tamil Nadu",JEE,"Fees:  ₹ 400,000"
"Mohammad Ali Jauhar University, Rampur",B.Tech Aeronautical Engineering,"Rampur, Uttar Pradesh",NA,NA
"Gojan School of Business and Technology, Chennai",BE Aeronautical Engineering,"Nallur, Tamil Nadu",NA,NA
"Er Perumal Manimekalai College of Engineering, Hosur",BE Aeronautical Engineering,"Nallaganakothapalli, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"MATS School of Engineering and Information Technology, Raipur",B.Tech Aeronautical Engineering,"Arang, Chhattisgarh",NA,Exams:  JEE Main 
"Manav Rachna International Institute of Research and Studies, Faridabad",B.Tech Aeronautical Engineering,"Faridabad, Haryana",JEE,"Fees:  ₹ 726,000"
"North East Frontier Technical University, West Siang",B.Tech Aeronautical Engineering,"Aalo, Arunachal Pradesh",NA,NA
"Mohamed Sathak AJ College of Engineering, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,NA
"Apollo Engineering College, Chennai",BE Aeronautical Engineering,"Poonamallee, Tamil Nadu",NA,"Fees:  ₹ 280,000"
